Описание	№ ООН	Класс	Код	№ опасности	Группа упаковки	Трансп. категория
АММОНИЯ ПИКРАТ сухой или с массовой долей воды менее 10%	0004	1	1.1D			1
ПАТРОНЫ ДЛЯ ОРУЖИЯ с разрывным зарядом	0005	1	1.1F			1
ПАТРОНЫ ДЛЯ ОРУЖИЯ с разрывным зарядом	0006	1	1.1E			1
ПАТРОНЫ ДЛЯ ОРУЖИЯ с разрывным зарядом	0007	1	1.2F			1
БОЕПРИПАСЫ ЗАЖИГАТЕЛЬНЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом	0009	1	1.2G			1
БОЕПРИПАСЫ ЗАЖИГАТЕЛЬНЫЕ, снаряженные или не снаря-женные разрывным, вышибным или метательным зарядом	0010	1	1.3G			1
ПАТРОНЫ ДЛЯ ОРУЖИЯ С ИНЕРТНЫМ СНАРЯДОМ	0012	1	1.4S			4
ПАТРОНЫ ДЛЯ СТРЕЛКОВОГО ОРУЖИЯ	0012	1	1.4S			4
ПАТРОНЫ ДЛЯ ОРУЖИЯ ХОЛОСТЫЕ	0014	1	1.4S			4
ПАТРОНЫ ДЛЯ СТРЕЛКОВОГО ОРУЖИЯ ХОЛОСТЫЕ	0014	1	1.4S			4
ПАТРОНЫ ДЛЯ ИНСТРУМЕНТОВ ХОЛОСТЫЕ	0014	1	1.4S			4
БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом	0015	1	1.2G			1
БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом, содержащие коррозионные вещества	0015	1	1.2G			1
БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом, содержащие токсичные при вдыхании вещества	0015	1	1.2G			1
БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом	0016	1	1.3G			1
БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом, содержащие коррозионные вещества	0016	1	1.3G			1
БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом, содержащие токсичные при вдыхании вещества	0016	1	1.3G			1
БОЕПРИПАСЫ СЛЕЗОТОЧИВЫЕ с разрывным, вышибным или метательным зарядом	0018	1	1.2G			1
БОЕПРИПАСЫ СЛЕЗОТОЧИВЫЕ с разрывным, вышибным или метательным зарядом	0019	1	1.3G			1
БОЕПРИПАСЫ С ОТРАВЛЯЮЩИМИ ВЕЩЕСТВАМИ с разрывным, вышибным или метательным зарядом	0020	1	1.2K			
