"UN";"Название";"№ АК";"Тип АК";"Размер группы";"Индивидуальный профиль";"Статус";"Замечания"
"0029";"ДЕТОНАТОРЫ НЕЭЛЕКТРИЧЕСКИЕ для взрывных работ";"191";"групповая";"3";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: consequenceControl"
"0030";"ДЕТОНАТОРЫ ЭЛЕКТРИЧЕСКИЕ для взрывных работ";"191";"групповая";"3";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: consequenceControl"
"0059";"ЗАРЯДЫ КУМУЛЯТИВНЫЕ без детонатора";"192";"групповая";"6";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: consequenceControl"
"0065";"ШНУР ДЕТОНИРУЮЩИЙ гибкий";"192";"групповая";"6";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: consequenceControl"
"0099";"ТОРПЕДЫ ВЗРЫВЧАТЫЕ для нефтескважин без детонатора";"192";"групповая";"6";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: consequenceControl"
"0124";"СНАРЯДЫ ПЕРФОРАТОРНЫЕ для нефтескважин без детонатора";"192";"групповая";"6";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: consequenceControl"
"0161";"ПОРОХ БЕЗДЫМНЫЙ";"190";"групповая";"2";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: consequenceControl"
"0278";"ПАТРОНЫ ДЛЯ НЕФТЕСКВАЖИН";"190";"групповая";"2";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: consequenceControl"
"0290";"ШНУР (ЗАПАЛ) ДЕТОНИРУЮЩИЙ в металлической оболочке";"192";"групповая";"6";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: consequenceControl"
"0377";"КАПСЮЛИ-ВОСПЛАМЕНИТЕЛИ";"191";"групповая";"3";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: consequenceControl"
"0381";"ПАТРОНЫ ДЛЯ ЗАПУСКА МЕХАНИЗМОВ";"189";"групповая";"3";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: consequenceControl"
"0409";"ТРУБКИ ДЕТОНАЦИОННЫЕ с защитными элементами";"189";"групповая";"3";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: consequenceControl"
"0439";"ЗАРЯДЫ КУМУЛЯТИВНЫЕ без детонатора";"189";"групповая";"3";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: consequenceControl"
"0442";"ЗАРЯДЫ ВЗРЫВЧАТЫЕ ПРОМЫШЛЕННЫЕ без детонатора";"192";"групповая";"6";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: consequenceControl"
"1001";"Ацетилен растворенный";"204";"групповая";"13";"нет";"READY";""
"1002";"Воздух сжатый";"201";"групповая";"45";"нет";"READY";""
"1003";"Воздух охлажденный жидкий";"202";"групповая";"6";"нет";"READY";""
"1005";"Аммиак безводный";"208";"групповая";"9";"нет";"READY";""
"1006";"Аргон сжатый";"201";"групповая";"45";"нет";"READY";""
"1008";"Бора трифторид";"203";"групповая";"22";"нет";"READY";""
"1009";"БРОМТРИФТОРМЕТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 13B1)";"201";"групповая";"45";"нет";"READY";""
"1010";"БУТАДИЕНЫ СТАБИЛИЗИРОВАННЫЕ или БУТАДИЕНОВ И УГЛЕВОДОРОДОВ СМЕСЬ СТАБИЛИЗИРОВАННАЯ, содержащая более 20% бутадиенов";"206";"групповая";"25";"нет";"READY";""
"1011";"Бутан";"206";"групповая";"25";"нет";"READY";""
"1012";"БУТИЛЕН";"206";"групповая";"25";"нет";"READY";""
"1013";"Углерода диоксид";"201";"групповая";"45";"нет";"READY";""
"1016";"Углерода монооксид сжатый";"207";"групповая";"10";"нет";"READY";""
"1017";"Хлор";"203";"групповая";"22";"да";"READY";""
"1018";"ХЛОРДИФТОРМЕТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 22)";"201";"групповая";"45";"нет";"READY";""
"1020";"ХЛОРПЕНТАФТОРЭТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 115)";"201";"групповая";"45";"нет";"READY";""
"1021";"1-ХЛОР-1,2,2,2-ТЕТРАФТОРЭТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 124)";"201";"групповая";"45";"нет";"READY";""
