"UN";"Название";"Классификационный код"
"0004";"АММОНИЯ ПИКРАТ сухой или с массовой долей воды менее 10%";"1.1D"
"0005";"ПАТРОНЫ ДЛЯ ОРУЖИЯ с разрывным зарядом";"1.1F"
"0006";"ПАТРОНЫ ДЛЯ ОРУЖИЯ с разрывным зарядом";"1.1E"
"0007";"ПАТРОНЫ ДЛЯ ОРУЖИЯ с разрывным зарядом";"1.2F"
"0009";"БОЕПРИПАСЫ ЗАЖИГАТЕЛЬНЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом";"1.2G"
"0010";"БОЕПРИПАСЫ ЗАЖИГАТЕЛЬНЫЕ, снаряженные или не снаря-женные разрывным, вышибным или метательным зарядом";"1.3G"
"0012";"ПАТРОНЫ ДЛЯ ОРУЖИЯ С ИНЕРТНЫМ СНАРЯДОМ";"1.4S"
"0012";"ПАТРОНЫ ДЛЯ СТРЕЛКОВОГО ОРУЖИЯ";"1.4S"
"0014";"ПАТРОНЫ ДЛЯ ОРУЖИЯ ХОЛОСТЫЕ";"1.4S"
"0014";"ПАТРОНЫ ДЛЯ СТРЕЛКОВОГО ОРУЖИЯ ХОЛОСТЫЕ";"1.4S"
"0014";"ПАТРОНЫ ДЛЯ ИНСТРУМЕНТОВ ХОЛОСТЫЕ";"1.4S"
"0015";"БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом";"1.2G"
"0015";"БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом, содержащие коррозионные вещества";"1.2G"
"0015";"БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом, содержащие токсичные при вдыхании вещества";"1.2G"
"0016";"БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом";"1.3G"
"0016";"БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом, содержащие коррозионные вещества";"1.3G"
"0016";"БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом, содержащие токсичные при вдыхании вещества";"1.3G"
"0018";"БОЕПРИПАСЫ СЛЕЗОТОЧИВЫЕ с разрывным, вышибным или метательным зарядом";"1.2G"
"0019";"БОЕПРИПАСЫ СЛЕЗОТОЧИВЫЕ с разрывным, вышибным или метательным зарядом";"1.3G"
